Speed (km/h),Voltage Fluctuation (V),Battery Discharge Rate (C),Ambient Temp (°C),SoC (%),Motor Power (kW),Vehicle Status
13.29,0.08,0.02,5.53,94.87,0.95,Good Condition
73.14,0.59,0.27,44.65,74.86,16.35,Not Good
11.65,0.47,0.11,23.54,93.6,6.71,Good Condition
61.13,0.16,0.15,1.95,72.11,9.19,Good Condition
61.07,0.42,0.09,8.61,77.66,5.16,Good Condition
9.9,0.25,0.05,3.39,96.43,2.97,Good Condition
52.32,0.33,0.3,1.23,82.62,17.71,Good Condition
16.65,0.21,0.0,34.86,89.15,0.0,Good Condition
121.24,0.81,0.79,19.79,54.94,47.26,Good Condition
142.15,0.63,0.47,26.56,41.07,28.27,Good Condition
10.85,0.19,0.0,11.56,97.21,0.0,Good Condition
143.27,1.03,0.73,22.68,38.09,43.82,Good Condition
78.39,0.63,0.27,7.88,69.74,16.14,Good Condition
44.93,0.39,0.1,10.4,84.2,5.89,Good Condition
11.53,0.33,0.35,27.61,94.08,20.97,Good Condition
75.09,0.66,0.21,2.52,67.12,12.87,Good Condition
119.18,1.27,1.03,25.86,52.71,61.62,Good Condition
106.06,0.57,0.61,37.61,60.91,36.72,Good Condition
7.53,0.44,0.04,1.02,95.22,2.27,Good Condition
10.94,0.2,0.11,39.87,93.15,6.88,Good Condition
60.43,0.92,0.7,-1.03,73.62,41.77,Not Good
44.29,0.25,0.02,12.45,86.77,1.41,Good Condition
34.86,0.21,0.0,25.53,84.65,0.0,Good Condition
42.15,0.49,0.05,22.97,78.18,3.14,Good Condition
120.52,0.79,0.63,-0.18,54.61,38.03,Not Good
139.38,0.45,0.46,34.95,46.24,27.64,Good Condition
60.77,0.73,0.28,43.66,71.98,16.8,Not Good
135.92,1.37,1.01,4.06,50.48,60.5,Good Condition
48.22,0.55,0.23,39.76,81.79,14.08,Good Condition
71.47,0.49,0.29,22.84,71.42,17.21,Good Condition
33.9,0.08,0.03,41.8,85.26,2.05,Not Good
96.07,0.96,0.63,3.8,65.56,37.71,Good Condition
146.85,0.63,0.66,34.6,38.7,39.54,Good Condition
90.52,0.71,0.75,-2.01,61.65,45.21,Not Good
53.67,0.77,0.56,39.16,74.76,33.62,Good Condition
97.17,0.56,0.53,28.71,63.72,31.69,Good Condition
18.44,0.06,0.06,13.51,93.58,3.85,Good Condition
133.3,1.0,0.88,4.52,47.77,52.86,Good Condition
75.46,0.56,0.54,35.83,67.0,32.45,Good Condition
67.4,0.24,0.18,25.16,74.55,10.72,Good Condition
87.88,0.35,0.34,13.02,67.5,20.55,Good Condition
93.72,0.32,0.24,17.19,61.09,14.66,Good Condition
10.77,0.45,0.1,36.33,98.71,6.17,Good Condition
102.39,0.97,0.63,11.95,57.53,37.68,Good Condition
36.29,0.23,0.0,-0.52,88.07,0.0,Not Good
107.09,0.68,0.47,40.56,52.5,28.17,Not Good
123.38,0.4,0.42,14.37,51.16,25.31,Good Condition
120.59,0.47,0.48,12.42,56.46,28.75,Good Condition
82.88,0.57,0.49,5.22,71.66,29.57,Good Condition
78.03,0.5,0.25,39.87,66.61,15.05,Good Condition
21.43,0.4,0.03,5.88,90.84,1.74,Good Condition
116.3,0.6,0.33,26.83,49.11,19.86,Good Condition
40.71,0.38,0.2,39.04,87.45,12.12,Good Condition
74.5,0.37,0.35,-3.25,70.88,20.73,Not Good
42.64,0.44,0.06,36.44,81.79,3.55,Good Condition
20.07,0.22,0.04,15.53,88.1,2.5,Good Condition
94.43,0.82,0.5,27.9,66.69,29.94,Good Condition
8.15,0.26,0.0,13.62,97.04,0.0,Good Condition
112.3,0.67,0.33,29.78,52.91,19.88,Good Condition
47.64,0.91,0.51,7.71,79.45,30.44,Good Condition
0.02,0.46,0.0,-3.9,97.7,0.0,Not Good
76.67,0.58,0.35,42.39,70.35,20.95,Not Good
7.03,0.43,0.19,-4.18,100.0,11.35,Not Good
41.43,0.82,0.76,36.2,87.0,45.76,Good Condition
106.05,0.77,0.33,3.46,57.19,19.9,Good Condition
9.4,0.32,0.1,14.61,99.5,6.26,Good Condition
125.9,0.55,0.54,36.12,48.87,32.66,Good Condition
0.57,0.22,0.0,5.3,97.29,0.0,Good Condition
37.02,0.09,0.03,38.29,90.02,1.95,Good Condition
111.14,0.6,0.38,19.89,53.58,22.96,Good Condition
47.44,0.46,0.2,13.31,79.26,11.91,Good Condition
15.28,0.17,0.0,28.12,98.78,0.0,Good Condition
54.04,0.39,0.4,12.07,74.73,23.87,Good Condition
40.56,0.63,0.18,12.36,86.38,10.76,Good Condition
126.41,1.05,0.74,31.68,53.8,44.15,Good Condition
47.0,0.53,0.13,10.49,81.32,7.52,Good Condition
118.34,0.68,0.55,5.04,47.69,33.22,Good Condition
133.78,1.06,0.76,35.38,45.24,45.62,Good Condition
65.07,0.34,0.11,35.27,70.09,6.36,Good Condition
136.49,0.7,0.67,19.88,44.57,40.2,Good Condition
56.6,0.16,0.11,21.33,80.26,6.63,Good Condition
144.61,0.74,0.63,29.8,41.54,38.02,Good Condition
13.39,0.07,0.0,20.46,93.96,0.0,Good Condition
103.05,1.17,0.74,15.85,59.35,44.64,Good Condition
74.07,0.24,0.24,44.74,71.19,14.16,Not Good
58.15,0.63,0.46,2.38,80.3,27.36,Good Condition
94.91,0.81,0.65,24.64,60.12,39.0,Good Condition
105.58,0.44,0.32,39.29,60.99,19.31,Good Condition
0.65,0.29,0.0,29.36,100.0,0.0,Good Condition
25.04,0.54,0.52,39.05,87.99,31.33,Good Condition
106.96,1.14,0.84,11.82,55.17,50.19,Good Condition
99.96,0.61,0.5,8.6,58.63,29.81,Good Condition
144.91,1.04,0.83,37.56,43.26,49.62,Good Condition
114.16,0.79,0.48,14.71,51.65,29.02,Good Condition
142.62,1.2,0.84,30.48,47.16,50.47,Good Condition
105.38,0.79,0.42,2.39,58.6,24.93,Good Condition
44.71,0.3,0.0,32.79,86.32,0.0,Good Condition
15.8,0.19,0.0,22.45,89.14,0.0,Good Condition
117.27,0.8,0.61,8.43,51.52,36.7,Good Condition
96.62,0.65,0.29,19.73,56.58,17.61,Good Condition
7.23,0.45,0.01,29.85,94.83,0.62,Good Condition
54.01,0.11,0.06,-4.41,82.02,3.65,Not Good
143.52,0.77,0.64,26.87,37.96,38.68,Good Condition
75.06,0.84,0.5,22.08,69.34,29.9,Good Condition
64.91,0.52,0.34,6.01,70.21,20.42,Good Condition
68.65,0.45,0.32,32.65,71.71,19.1,Good Condition
31.33,0.45,0.27,10.17,90.86,16.28,Good Condition
55.31,0.6,0.33,8.84,79.11,19.61,Good Condition
55.47,0.94,0.49,18.56,80.18,29.33,Good Condition
7.85,0.25,0.0,28.81,95.35,0.0,Good Condition
115.14,0.58,0.52,41.44,58.39,31.4,Not Good
62.48,0.14,0.07,2.07,77.1,4.13,Good Condition
123.33,0.54,0.57,14.82,49.89,34.48,Good Condition
127.55,1.03,0.83,-1.65,48.24,50.01,Not Good
31.8,0.58,0.34,32.93,91.47,20.62,Good Condition
98.6,0.69,0.65,17.39,61.32,39.24,Good Condition
70.84,0.38,0.03,30.35,73.73,1.99,Good Condition
132.02,1.16,0.88,11.11,46.36,52.9,Good Condition
32.36,0.13,0.0,37.22,84.29,0.0,Good Condition
101.67,0.77,0.66,21.74,61.57,39.73,Good Condition
91.16,0.84,0.39,42.18,64.61,23.3,Not Good
44.3,0.46,0.31,-1.06,82.3,18.37,Not Good
20.49,0.38,0.0,20.71,93.04,0.0,Good Condition
97.75,0.84,0.68,33.32,57.98,41.04,Good Condition
110.79,0.69,0.32,25.01,58.62,19.44,Good Condition
47.34,0.47,0.09,-3.84,85.54,5.6,Not Good
96.72,0.62,0.32,43.62,65.22,18.98,Not Good
59.27,0.43,0.0,9.91,74.51,0.0,Good Condition
106.98,0.97,0.56,7.46,56.27,33.63,Good Condition
29.88,0.67,0.42,19.28,91.13,25.14,Good Condition
133.53,1.16,1.16,22.11,47.54,69.32,Good Condition
43.11,0.38,0.2,33.31,83.23,11.95,Good Condition
55.17,0.77,0.43,14.66,82.2,25.93,Good Condition
8.71,0.38,0.07,17.0,96.87,3.93,Good Condition
16.73,0.22,0.14,21.75,93.46,8.51,Good Condition
77.38,0.31,0.31,14.72,64.47,18.74,Good Condition
40.14,0.52,0.2,40.73,79.64,12.03,Not Good
125.32,0.8,0.75,37.56,44.95,44.89,Good Condition
2.2,0.25,0.0,17.75,100.0,0.0,Good Condition
56.86,0.59,0.24,-4.99,76.34,14.54,Not Good
50.6,0.47,0.21,40.05,79.44,12.73,Not Good
2.9,0.17,0.14,1.22,100.0,8.69,Good Condition
18.66,0.09,0.0,7.23,93.63,0.0,Good Condition
62.05,0.36,0.27,2.62,76.28,16.48,Good Condition
73.93,0.73,0.67,3.99,68.39,40.1,Good Condition
60.64,0.71,0.47,35.14,79.08,28.18,Good Condition
79.64,0.8,0.61,23.98,64.8,36.43,Good Condition
89.27,0.5,0.44,42.8,59.82,26.55,Not Good
1.49,0.08,0.06,6.57,96.32,3.4,Good Condition
69.61,0.53,0.49,19.28,69.83,29.54,Good Condition
144.52,1.43,1.04,43.87,40.01,62.5,Not Good
77.85,0.28,0.05,36.32,70.56,2.81,Good Condition
101.63,0.7,0.29,31.43,56.53,17.58,Good Condition
46.78,0.8,0.42,4.45,83.05,25.21,Good Condition
116.1,0.76,0.55,33.47,49.47,33.29,Good Condition
115.94,0.79,0.49,12.38,50.1,29.28,Good Condition
78.19,0.24,0.16,21.53,68.81,9.9,Good Condition
146.4,0.98,0.7,25.46,45.66,42.08,Good Condition
18.83,0.14,0.0,25.47,96.06,0.0,Good Condition
2.54,0.74,0.35,31.33,100.0,21.28,Good Condition
115.52,0.58,0.59,28.09,55.3,35.62,Good Condition
121.07,0.95,0.62,-1.58,53.33,37.34,Not Good
18.03,0.2,0.16,17.87,94.04,9.74,Good Condition
39.84,0.73,0.33,28.2,85.29,19.61,Good Condition
2.63,0.3,0.16,9.8,95.42,9.84,Good Condition
44.0,0.66,0.37,10.65,82.84,21.99,Good Condition
115.97,0.69,0.49,1.23,52.47,29.7,Good Condition
77.69,0.47,0.32,15.93,68.35,19.29,Good Condition
52.21,0.65,0.36,44.34,79.35,21.51,Not Good
55.76,0.62,0.16,9.27,73.98,9.68,Good Condition
0.2,0.02,0.0,21.57,98.51,0.0,Good Condition
44.97,0.69,0.26,32.16,77.65,15.54,Good Condition
96.97,0.86,0.62,-4.33,66.01,36.9,Not Good
146.13,0.85,0.5,40.02,37.73,29.74,Not Good
127.06,0.9,0.79,14.33,46.76,47.33,Good Condition
3.54,0.24,0.0,38.46,100.0,0.0,Good Condition
134.78,1.19,0.84,-3.05,45.91,50.2,Not Good
117.48,0.87,0.74,2.28,49.36,44.34,Good Condition
117.06,1.05,0.87,11.13,52.02,52.49,Good Condition
68.7,0.5,0.55,12.27,68.68,32.74,Good Condition
59.7,0.52,0.49,37.39,73.12,29.7,Good Condition
45.44,0.71,0.44,-4.44,77.35,26.13,Not Good
9.85,0.43,0.08,27.06,95.44,4.78,Good Condition
34.24,0.42,0.14,1.57,89.37,8.65,Good Condition
36.99,0.34,0.3,36.16,86.06,17.87,Good Condition
72.61,0.64,0.46,33.93,72.02,27.85,Good Condition
112.12,0.65,0.52,20.0,52.16,31.49,Good Condition
71.07,0.61,0.4,5.63,70.01,24.06,Good Condition
8.68,0.45,0.02,26.72,99.98,1.25,Good Condition
143.67,0.96,0.63,2.81,38.41,38.02,Good Condition
141.41,0.92,0.98,4.5,47.02,58.59,Good Condition
117.78,1.0,0.62,26.33,52.73,37.23,Good Condition
148.7,1.27,1.15,44.56,43.89,69.01,Not Good
81.67,0.48,0.12,39.55,65.51,7.39,Good Condition
144.42,0.69,0.69,24.66,40.62,41.28,Good Condition
11.34,0.37,0.04,21.93,97.98,2.54,Good Condition
54.85,0.51,0.43,44.92,80.91,26.04,Not Good
33.81,0.4,0.2,22.37,83.77,12.2,Good Condition
29.37,0.16,0.17,16.01,92.98,10.04,Good Condition
21.12,0.08,0.0,40.48,87.4,0.0,Not Good
93.36,0.29,0.27,6.71,58.34,16.19,Good Condition
117.2,0.72,0.66,-0.12,54.08,39.69,Not Good
86.74,0.23,0.2,26.7,67.53,11.77,Good Condition
22.04,0.35,0.0,-0.21,95.79,0.0,Not Good
121.67,0.66,0.72,13.66,50.38,43.15,Good Condition
95.39,0.59,0.31,16.18,57.1,18.66,Good Condition
58.22,0.55,0.53,22.38,77.74,31.8,Good Condition
101.12,1.11,0.71,44.58,57.45,42.79,Not Good
38.99,0.47,0.0,6.05,83.74,0.0,Good Condition
51.78,0.18,0.07,13.79,79.17,4.36,Good Condition
137.62,0.63,0.36,1.61,40.6,21.36,Good Condition
43.58,0.06,0.05,25.38,82.43,3.3,Good Condition
70.5,0.88,0.46,31.38,71.06,27.48,Good Condition
133.52,0.84,0.64,19.1,48.72,38.5,Good Condition
106.16,0.58,0.62,7.29,58.99,36.99,Good Condition
9.33,0.17,0.0,26.04,93.12,0.0,Good Condition
22.1,0.23,0.22,21.96,88.22,12.9,Good Condition
1.18,0.2,0.0,3.56,97.04,0.0,Good Condition
94.64,0.76,0.47,15.28,58.93,28.34,Good Condition
67.15,0.5,0.3,16.76,74.71,17.76,Good Condition
20.14,0.19,0.0,44.13,96.89,0.0,Not Good
143.69,0.59,0.58,37.46,44.05,35.04,Good Condition
79.45,0.61,0.54,31.72,69.29,32.55,Good Condition
36.28,0.24,0.22,39.44,84.59,12.92,Good Condition
75.09,0.88,0.53,31.77,68.09,31.87,Good Condition
101.94,0.58,0.57,40.17,63.33,34.09,Not Good
11.44,0.35,0.06,-2.27,100.0,3.66,Not Good
41.21,0.17,0.0,17.8,83.49,0.0,Good Condition
121.04,0.64,0.59,32.34,49.48,35.2,Good Condition
68.95,0.61,0.32,24.16,75.12,19.02,Good Condition
81.99,0.88,0.72,3.76,63.53,43.28,Good Condition
64.92,0.57,0.41,12.02,76.69,24.82,Good Condition
6.58,0.54,0.28,10.89,100.0,16.51,Good Condition
24.86,0.42,0.19,8.07,86.3,11.65,Good Condition
66.83,0.32,0.19,12.16,78.04,11.47,Good Condition
31.38,0.41,0.14,20.74,92.3,8.67,Good Condition
7.5,0.39,0.06,37.74,100.0,3.71,Good Condition
126.55,0.47,0.51,32.1,49.34,30.59,Good Condition
147.18,0.89,0.73,36.76,38.59,44.08,Good Condition
118.97,0.55,0.58,39.18,53.23,35.07,Good Condition
128.07,0.94,0.94,15.81,47.97,56.62,Good Condition
36.3,0.28,0.0,12.3,82.54,0.0,Good Condition
144.09,1.31,0.98,-2.12,41.6,58.78,Not Good
29.54,0.44,0.0,41.52,89.82,0.0,Not Good
142.71,0.52,0.54,-1.71,38.62,32.47,Not Good
149.22,1.12,1.01,32.06,38.65,60.53,Good Condition
106.76,0.89,0.67,13.91,52.47,39.92,Good Condition
147.17,0.98,1.01,42.44,43.63,60.47,Not Good
85.43,0.88,0.55,15.98,67.23,32.96,Good Condition
38.93,0.83,0.51,35.83,80.05,30.32,Good Condition
65.55,0.81,0.4,9.13,78.43,23.75,Good Condition
89.03,0.37,0.41,9.95,59.61,24.66,Good Condition
10.96,0.19,0.09,24.78,96.51,5.55,Good Condition
93.35,1.02,0.67,44.9,65.42,40.19,Not Good
147.18,0.94,0.67,20.88,44.01,40.13,Good Condition
28.52,0.45,0.0,41.82,83.94,0.17,Not Good
118.89,0.54,0.57,34.31,56.51,34.01,Good Condition
136.18,0.64,0.38,34.79,49.71,22.62,Good Condition
141.56,0.99,0.79,16.8,43.99,47.12,Good Condition
144.02,0.44,0.46,14.33,42.21,27.84,Good Condition
78.22,0.6,0.38,4.6,64.16,22.98,Good Condition
146.6,1.15,0.94,43.2,41.98,56.35,Not Good
113.6,0.55,0.51,42.97,53.66,30.36,Not Good
24.25,0.47,0.37,32.35,93.03,22.28,Good Condition
71.54,0.4,0.09,9.81,70.42,5.56,Good Condition
107.75,0.91,0.75,7.26,58.74,44.88,Good Condition
37.1,0.67,0.27,44.43,81.17,15.92,Not Good
96.09,0.34,0.19,-1.67,57.89,11.57,Not Good
99.99,0.99,0.95,37.18,56.4,57.25,Good Condition
24.4,0.57,0.08,12.77,85.69,4.91,Good Condition
84.76,0.69,0.27,15.94,66.51,15.94,Good Condition
115.74,0.34,0.36,36.6,56.64,21.85,Good Condition
74.83,0.67,0.32,-0.47,71.17,19.09,Not Good
1.82,0.06,0.0,12.71,100.0,0.0,Good Condition
1.36,0.03,0.02,42.6,100.0,1.2,Not Good
53.55,0.31,0.19,29.95,76.97,11.27,Good Condition
138.93,0.9,0.85,32.75,43.05,51.06,Good Condition
34.3,0.48,0.07,32.88,84.42,4.47,Good Condition
95.15,0.49,0.15,-1.97,64.06,9.05,Not Good
33.31,0.59,0.11,5.16,83.29,6.57,Good Condition
48.25,0.36,0.0,19.56,75.83,0.0,Good Condition
127.21,0.87,0.73,13.41,50.08,43.77,Good Condition
109.33,0.71,0.4,15.55,60.69,23.75,Good Condition
14.31,0.57,0.08,34.07,95.37,4.56,Good Condition
64.31,0.82,0.51,-4.27,77.11,30.89,Not Good
4.38,0.38,0.0,28.02,99.98,0.0,Good Condition
72.13,0.93,0.52,-4.99,71.12,30.98,Not Good
99.37,0.44,0.43,-1.85,62.44,25.58,Not Good
17.78,0.67,0.36,15.41,96.13,21.32,Good Condition
43.33,0.54,0.12,37.05,79.91,7.4,Good Condition
59.68,0.59,0.13,2.25,74.49,7.82,Good Condition
137.93,0.87,0.85,22.73,42.07,51.21,Good Condition
148.99,0.92,0.74,28.93,39.93,44.28,Good Condition
6.74,0.34,0.0,6.48,100.0,0.0,Good Condition
114.15,0.58,0.51,20.62,52.79,30.55,Good Condition
55.76,0.52,0.24,40.57,76.44,14.51,Not Good
58.87,0.57,0.49,20.61,80.06,29.38,Good Condition
113.14,0.4,0.26,2.87,54.9,15.61,Good Condition
137.76,0.89,0.74,26.39,45.25,44.5,Good Condition
142.64,1.05,0.87,24.61,46.55,52.41,Good Condition
86.57,0.63,0.45,-3.65,65.28,27.29,Not Good
53.57,0.66,0.46,-0.47,80.39,27.35,Not Good
118.13,0.69,0.6,2.84,48.6,36.07,Good Condition
37.65,0.19,0.12,1.81,81.73,7.49,Good Condition
84.61,0.48,0.51,7.97,65.2,30.59,Good Condition
53.79,0.33,0.26,17.71,78.43,15.31,Good Condition
98.49,0.68,0.43,13.59,65.26,25.69,Good Condition
36.06,0.6,0.23,39.53,90.28,14.03,Good Condition
28.74,0.09,0.0,25.61,92.02,0.23,Good Condition
137.74,0.63,0.64,38.81,43.06,38.15,Good Condition
15.27,0.37,0.0,21.35,98.53,0.0,Good Condition
75.89,0.68,0.59,-0.51,71.54,35.18,Not Good
33.13,0.48,0.0,18.16,85.68,0.0,Good Condition
5.84,0.43,0.08,36.1,99.68,4.95,Good Condition
5.4,0.18,0.02,4.71,93.0,1.25,Good Condition
26.28,0.14,0.0,-0.44,85.95,0.0,Not Good
130.02,0.93,0.74,11.47,51.29,44.4,Good Condition
42.37,0.27,0.26,14.44,84.51,15.51,Good Condition
142.57,0.84,0.87,10.31,41.61,52.03,Good Condition
87.24,0.09,0.0,1.76,65.11,0.0,Good Condition
65.49,0.86,0.53,7.54,77.85,31.8,Good Condition
87.01,0.53,0.3,29.11,66.51,18.13,Good Condition
77.5,0.44,0.48,14.3,67.98,29.07,Good Condition
113.82,0.98,0.71,26.63,50.68,42.62,Good Condition
42.37,0.24,0.03,21.82,80.99,1.99,Good Condition
52.96,0.57,0.34,22.45,83.6,20.66,Good Condition
134.11,0.69,0.65,7.43,45.73,39.01,Good Condition
141.97,0.65,0.42,21.08,42.93,25.19,Good Condition
133.88,1.31,0.91,-3.82,46.43,54.46,Not Good
62.92,0.18,0.16,16.59,78.67,9.54,Good Condition
117.05,0.56,0.46,23.63,54.22,27.87,Good Condition
71.45,0.36,0.27,4.1,73.36,16.11,Good Condition
74.63,0.48,0.4,7.83,69.04,23.94,Good Condition
30.7,0.29,0.11,5.98,83.01,6.74,Good Condition
88.67,0.88,0.53,-1.47,68.84,31.57,Not Good
27.92,0.46,0.0,12.39,93.32,0.0,Good Condition
49.73,0.19,0.09,43.95,84.6,5.61,Not Good
128.25,0.86,0.66,12.69,53.14,39.47,Good Condition
31.06,0.71,0.44,18.03,90.73,26.39,Good Condition
10.67,0.27,0.02,27.65,97.58,0.92,Good Condition
10.35,0.41,0.21,27.42,99.3,12.83,Good Condition
141.12,0.79,0.77,42.49,44.56,45.96,Not Good
76.04,0.5,0.28,37.88,65.93,16.86,Good Condition
61.41,0.42,0.24,34.7,74.35,14.32,Good Condition
121.63,0.94,0.61,42.58,56.06,36.44,Not Good
125.37,1.07,0.76,6.54,48.36,45.58,Good Condition
49.83,0.47,0.45,25.85,83.75,26.81,Good Condition
104.04,0.57,0.59,39.36,54.32,35.21,Good Condition
115.67,1.17,0.8,26.21,52.07,47.77,Good Condition
98.2,0.57,0.33,43.87,59.23,19.84,Not Good
22.74,0.44,0.02,0.02,86.42,0.95,Good Condition
131.38,0.55,0.58,16.97,43.64,34.58,Good Condition
80.86,0.66,0.44,43.87,64.59,26.51,Not Good
42.37,0.38,0.12,13.98,86.43,7.17,Good Condition
63.78,0.8,0.41,31.98,70.12,24.87,Good Condition
5.64,0.05,0.0,-3.48,95.73,0.0,Not Good
19.18,0.19,0.08,29.74,87.43,4.59,Good Condition
114.83,0.84,0.71,41.73,56.02,42.45,Not Good
0.0,0.43,0.0,14.14,100.0,0.0,Good Condition
62.48,1.04,0.64,-3.94,76.46,38.36,Not Good
78.38,0.79,0.33,-3.6,67.39,19.67,Not Good
8.2,0.48,0.0,39.6,93.8,0.0,Good Condition
145.96,0.74,0.82,31.13,43.82,49.03,Good Condition
33.92,0.15,0.14,0.33,89.54,8.57,Good Condition
45.63,0.24,0.18,-2.27,78.13,10.94,Not Good
45.59,0.5,0.36,35.24,81.63,21.66,Good Condition
34.56,0.65,0.26,35.49,83.66,15.9,Good Condition
0.22,0.49,0.05,1.03,96.59,3.0,Good Condition
109.4,0.66,0.63,10.08,58.58,38.08,Good Condition
145.03,1.0,0.77,34.0,42.37,46.05,Good Condition
33.64,0.85,0.43,21.27,83.7,25.91,Good Condition
99.46,0.46,0.25,42.83,58.32,15.15,Not Good
111.28,0.59,0.59,19.05,60.15,35.67,Good Condition
127.26,0.84,0.68,28.85,52.58,40.91,Good Condition
63.39,0.57,0.43,20.49,78.44,25.58,Good Condition
45.44,0.34,0.05,42.15,81.42,3.26,Not Good
48.79,0.22,0.0,14.93,81.72,0.0,Good Condition
106.89,0.52,0.57,6.49,56.01,34.22,Good Condition
122.52,1.12,0.69,11.33,46.77,41.27,Good Condition
27.24,0.59,0.35,37.64,88.11,21.23,Good Condition
55.64,0.27,0.04,19.9,78.68,2.21,Good Condition
135.29,1.3,0.91,12.71,43.76,54.87,Good Condition
121.0,1.0,1.03,22.21,55.08,61.57,Good Condition
147.73,0.76,0.74,1.66,37.42,44.37,Good Condition
113.14,0.73,0.37,-4.73,53.42,22.05,Not Good
58.98,0.31,0.2,9.03,72.66,11.93,Good Condition
88.6,0.79,0.44,25.25,63.61,26.21,Good Condition
99.15,0.67,0.59,30.58,55.74,35.47,Good Condition
11.77,0.02,0.0,36.33,93.02,0.0,Good Condition
81.67,0.85,0.65,41.33,66.34,39.19,Not Good
106.4,0.42,0.36,15.61,57.22,21.33,Good Condition
25.1,0.38,0.0,32.03,90.4,0.0,Good Condition
117.09,1.03,0.79,-1.27,50.91,47.49,Not Good
87.57,0.51,0.05,-2.12,65.2,2.96,Not Good
142.83,1.05,0.74,1.24,42.96,44.19,Good Condition
6.36,0.57,0.54,17.43,95.62,32.28,Good Condition
39.8,0.55,0.16,5.56,87.38,9.86,Good Condition
90.23,0.55,0.26,9.35,64.36,15.44,Good Condition
44.48,0.5,0.18,27.39,80.53,10.83,Good Condition
107.16,0.9,0.54,12.93,61.61,32.24,Good Condition
113.85,0.84,0.61,22.87,57.91,36.83,Good Condition
15.38,0.38,0.16,15.62,98.67,9.81,Good Condition
77.08,0.49,0.19,3.45,71.09,11.66,Good Condition
76.33,0.73,0.64,-1.3,68.25,38.67,Not Good
55.39,0.35,0.29,6.81,75.65,17.29,Good Condition
139.94,1.09,0.87,-2.11,45.66,52.38,Not Good
124.13,0.61,0.55,25.93,55.16,32.79,Good Condition
104.58,0.71,0.74,34.79,59.43,44.67,Good Condition
107.15,0.45,0.5,11.99,60.96,30.18,Good Condition
69.26,0.64,0.37,14.36,70.59,22.17,Good Condition
138.15,0.71,0.58,35.81,43.81,35.09,Good Condition
104.19,0.7,0.36,6.13,62.39,21.69,Good Condition
109.35,0.79,0.67,0.96,58.83,40.44,Good Condition
129.25,0.79,0.61,20.06,53.11,36.58,Good Condition
41.11,0.23,0.03,27.31,86.3,1.84,Good Condition
121.06,0.8,0.52,24.98,51.06,31.48,Good Condition
29.29,0.39,0.23,30.69,88.6,13.89,Good Condition
51.8,0.59,0.12,-2.16,83.28,7.4,Not Good
50.34,0.65,0.2,16.41,80.38,12.05,Good Condition
146.78,1.14,0.8,6.93,38.84,47.92,Good Condition
128.48,0.78,0.36,32.96,47.96,21.54,Good Condition
105.18,0.48,0.29,38.64,58.09,17.31,Good Condition
109.06,0.82,0.61,9.07,52.34,36.81,Good Condition
84.31,0.63,0.29,-0.24,68.71,17.19,Not Good
142.06,1.2,0.94,7.67,39.27,56.5,Good Condition
74.44,0.91,0.51,0.2,69.27,30.82,Good Condition
57.08,0.7,0.38,11.12,80.22,22.57,Good Condition
24.46,0.86,0.4,21.91,89.89,23.76,Good Condition
117.93,0.71,0.6,43.68,56.25,35.91,Not Good
110.17,1.02,0.67,14.97,54.35,40.35,Good Condition
57.65,0.49,0.16,6.0,81.52,9.72,Good Condition
3.78,0.72,0.42,3.34,95.58,25.12,Good Condition
125.85,1.06,0.99,3.65,45.04,59.56,Good Condition
1.71,0.4,0.01,4.63,100.0,0.35,Good Condition
105.55,0.99,0.6,33.11,60.3,36.03,Good Condition
145.54,1.02,1.01,-1.95,39.1,60.88,Not Good
65.65,0.56,0.28,44.87,78.59,16.72,Not Good
35.25,0.23,0.03,21.13,85.92,2.06,Good Condition
105.73,1.11,0.68,22.21,62.22,40.97,Good Condition
122.57,0.83,0.65,12.88,51.02,39.26,Good Condition
81.96,0.5,0.43,29.51,66.93,25.57,Good Condition
145.06,0.77,0.65,18.57,41.47,38.76,Good Condition
7.75,0.33,0.0,11.45,95.25,0.0,Good Condition
75.72,0.4,0.4,8.26,70.05,23.95,Good Condition
107.77,0.93,0.7,41.28,56.42,42.02,Not Good
129.4,1.05,0.65,9.55,43.61,38.81,Good Condition
26.89,0.73,0.34,16.82,86.85,20.6,Good Condition
120.0,0.49,0.51,12.52,49.13,30.48,Good Condition
82.91,0.7,0.23,-0.69,70.51,13.52,Not Good
59.48,0.58,0.26,4.3,77.2,15.49,Good Condition
19.76,0.13,0.06,4.48,94.73,3.48,Good Condition
129.79,0.74,0.82,29.68,52.65,48.92,Good Condition
23.59,0.09,0.0,15.33,92.0,0.0,Good Condition
46.47,0.8,0.43,34.1,86.24,25.7,Good Condition
43.51,0.47,0.51,30.45,80.71,30.77,Good Condition
130.71,0.73,0.69,4.6,44.58,41.18,Good Condition
100.91,1.02,0.72,23.15,58.67,42.97,Good Condition
119.5,0.69,0.45,32.15,51.91,26.76,Good Condition
37.57,0.69,0.33,26.65,88.93,20.06,Good Condition
93.73,0.95,0.64,25.0,63.11,38.36,Good Condition
85.76,0.53,0.56,31.98,63.62,33.7,Good Condition
124.92,1.03,0.65,-2.16,52.46,39.21,Not Good
135.91,0.32,0.23,31.57,45.69,14.02,Good Condition
1.82,0.28,0.0,8.63,95.89,0.0,Good Condition
101.1,0.69,0.4,23.59,60.33,24.28,Good Condition
